categorie,nom,type,statut,adresse,ville,telephone,email,site_web,lien_fiche
primaire,Salima School - Ezzahra (SLS),Primaire,Privé,Cité El Habib Ezzahra,Ezzahra,+216 54 54 86 12,contact@sls-schools.tn,,https://www.ecoles.com.tn/etablissements/primaire/salima-school-ezzahra-sls
primaire,A.Q Chebbi,Primaire,Privé,rue MD NEGRA ---SAHABI 4,Kairouan,+216 77 27 31 66,,,https://www.ecoles.com.tn/etablissements/primaire/aq-chebbi
primaire,Abbassi Private School (APS),Primaire,Privé,11 rue des muriers Riadh el Andalous,Ariana Ville,+216 71 82 08 20 / 25 25 25 78 / 99 55 09 90,,,https://www.ecoles.com.tn/etablissements/primaire/abbassi-private-school-aps
primaire,ABC,Primaire,Privé,Cité Al Balwi,Kairouan,+216 26 23 83 53 / 25 69 14 54,,,https://www.ecoles.com.tn/etablissements/primaire/abc
primaire,Abc School,Primaire,Privé,avenue Taher Sfar juste devant café Asfour,Mahdia,+216 22 076 222,chjihene@hotmail.fr,,https://www.ecoles.com.tn/etablissements/primaire/abc-school
primaire,Abd Al-Rahman Ibn Khaldoun,Primaire,Privé,Rue Sidi Bechir Zitouni,Djerba - Houmt Souk,+216 54 06 18 72,contact@epparik-djerba.com,https://www.epparik-djerba.com/,https://www.ecoles.com.tn/etablissements/primaire/abd-al-rahman-ibn-khaldoun
primaire,Academia,Primaire,Privé,Rue Mohamed Salah Sayadi,Monastir Ville,+216 73 50 27 17 / 50 182 210,contact@e-academia.com.tn,https://e-academia.com.tn/,https://www.ecoles.com.tn/etablissements/primaire/academia
primaire,Académie Averroès,Primaire,Privé,Académie Averroès Ras Jebel,Ras Jebel,+216 97 211 630,,,https://www.ecoles.com.tn/etablissements/primaire/academie-averroes
primaire,Académie de Carthage,Primaire,Privé,Avenue 14 janvier,Meknassy,+216 54 37 32 00,,,https://www.ecoles.com.tn/etablissements/primaire/academie-de-carthage
primaire,Académie De L'excellence,Primaire,Privé,1 Rue Tarak Ibn Zied Impasse Sayda El Menzah 5,Ariana Ville,+216 70 74 15 72,info@kademia.tn,https://www.kademia.tn/,https://www.ecoles.com.tn/etablissements/primaire/academie-de-lexcellence-0
primaire,Académie de l'Excellence,Primaire,Privé,Rue de Jordanie,Kélibia,+216  72 27 55 60,contact@excellencekelibia.com,https://excellencekelibia.com/,https://www.ecoles.com.tn/etablissements/primaire/academie-de-lexcellence
primaire,Académie DES Palmeraies,Primaire,Privé,"Rue khaled Ibn walid, Ain Zaghouan Nord",Tunis,+216 55 786 107,lespalmeraies1@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/academie-des-palmeraies
primaire,Académie Du Lac,Primaire,Privé,"5, Rue Wall Street, Les Berges du Lac 2",Lac,+216 29 10 24 00,contact@academiedulac.com,https://academiedulac.tn/,https://www.ecoles.com.tn/etablissements/primaire/academie-du-lac
primaire,Académie Ibn Al Nafis,Primaire,Privé,Avenue Mohammed 5,Sidi Bouzid,+216 92 97 97 29,,,https://www.ecoles.com.tn/etablissements/primaire/academie-ibn-al-nafis
primaire,Académie le Savoir : Ecole Privée Chebbi,Primaire,Privé,"Rue Zakaria Ahmed, Sahloul",Sousse,97 135 406,academielesavoir@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/academie-le-savoir-ecole-privee-chebbi
primaire,Access School,Primaire,Privé,En face du lycée mixte,Gafsa Nord,+216  99 55 01 25,ifa_gafsa@yahoo.fr,,https://www.ecoles.com.tn/etablissements/primaire/access-school
primaire,Achref School,Primaire,Privé,Rue 14 janvier,Soliman,+216 24 02 80 58,,,https://www.ecoles.com.tn/etablissements/primaire/achref-school
primaire,Adam School,Primaire,Privé,Tunis,Sidi Hassine,+216 23 14 41 00,,,https://www.ecoles.com.tn/etablissements/primaire/adam-school
primaire,Afif School,Primaire,Privé,Rue Ahmed Chaouki,Medina Jedida,+216  71 31 33 08/ 98 22 36 77,,,https://www.ecoles.com.tn/etablissements/primaire/afif-school
primaire,Ajial,Primaire,Privé,"Rue Abed Rabou, Krib",Siliana,+216 97 50 94 55,,,https://www.ecoles.com.tn/etablissements/primaire/ajial
primaire,AJIEL Al Manara,Primaire,Privé,Lotissement Azzaharat route de Beja,Medjez el-Bab,+216 36 45 56 45 / 22 52 18 12,ajielalmanara@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/ajiel-al-manara
primaire,Al Andalus,Primaire,Privé,16 Rue 20 mars Mourouj 5,El Mourouj,+216 98 17 54 66 / 92 324 131,,,https://www.ecoles.com.tn/etablissements/primaire/al-andalus
primaire,Al Anwar,Primaire,Privé,En face de l'entrepôt municipal rue Essanabel Goubellat,Goubellat,+216 78 58 50 32 / 26 51 63 39,,,https://www.ecoles.com.tn/etablissements/primaire/al-anwar
primaire,Al Bayan,Primaire,Privé,Avenue Mongi Slim,Le Bardo,98 946 651 / 71 515 694,,,https://www.ecoles.com.tn/etablissements/primaire/al-bayan
primaire,AL Emtiez,Primaire,Privé,Ezzahrouni,Ariana,+216 22 56 25 36 / 29 21 79 11 / 26 27 36 96,,,https://www.ecoles.com.tn/etablissements/primaire/al-emtiez
primaire,Al Faouez,Primaire,Privé,Rue Habib Bourguiba,Bizerte,+216 72 43 59 11,,,https://www.ecoles.com.tn/etablissements/primaire/al-faouez
primaire,Al Fawez,Primaire,Privé,Route Gabes,Médenine,+216 75 60 08 03,ecolealfawez@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/al-fawez
primaire,Al Ferdaws,Primaire,Privé,"Rue Ifrikia ,Mourouj 3",El Mourouj,+216 31 10 06 61,,,https://www.ecoles.com.tn/etablissements/primaire/al-ferdaws
primaire,Al Feteh Primary School,Primaire,Privé,Rue l'indépendance,Menzel Bourguiba,+216 72 52 04 29 / 58 75 34 60,Alfateh.primaryschool1@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/al-feteh-primary-school
primaire,Al Hayet,Primaire,Privé,Avenu 3 Aout,Hammamet,+216 72 26 60 10 / 97 35 88 53,ecolealhayet@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/al-hayet
primaire,Al Inaya - La Providence,Primaire,Privé,"Cité des professeurs, Rue Al souisse",Sidi Bouzid Est,+216 97 94 64 12,,,https://www.ecoles.com.tn/etablissements/primaire/al-inaya-la-providence
primaire,Al Jil Eraed,Primaire,Privé,Rue Farhat Hachad,El Alia,+216 20 07 01 48,,,https://www.ecoles.com.tn/etablissements/primaire/al-jil-eraed
primaire,Al Majed,Primaire,Privé,"Avenue La Liberté, Rue 14 janvier",Ras Jebel,+216 72 44 92 39,,,https://www.ecoles.com.tn/etablissements/primaire/al-majed
primaire,Al Manhal School,Primaire,Privé,Cité Soliman Riadh- Borj Cedria,Soliman,+216 79 41 10 91 / 21 51 06 72 / 54 39 60 59 / 25 19 18 86,almanhal408@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/al-manhal-school
primaire,Al Marraya,Primaire,Privé,Oued Elil,Manouba,+ 216 53 39 39 65,el.maraya@yahoo.fr,,https://www.ecoles.com.tn/etablissements/primaire/al-marraya
primaire,Al Mawada,Primaire,Privé,"Route Menzel Chaker Km 6.5, Rue Al Riadh",Sfax sud,74654357,,,https://www.ecoles.com.tn/etablissements/primaire/al-mawada
primaire,Al Messaad,Primaire,Privé,Cité Ennour,Gafsa Sud,76200795,,,https://www.ecoles.com.tn/etablissements/primaire/al-messaad
primaire,Al Michaal,Primaire,Privé,Rue Al Nadhour Oued El Marrej,Bizerte Nord,97 878 841 / 96 517 108 / 52 878 845,,,https://www.ecoles.com.tn/etablissements/primaire/al-michaal
primaire,Al Moustakbel,Primaire,Privé,Route de l'Aéroport Km 3,Sfax Ville,+216 74 45 26 20,,,https://www.ecoles.com.tn/etablissements/primaire/al-moustakbel
primaire,Al Ofok,Primaire,Privé,Gafsa,Sidi Aïch,+216 90 48 41 13,,,https://www.ecoles.com.tn/etablissements/primaire/al-ofok
primaire,Al Oswa Hassana - The Leader,Primaire,Privé,Rue Monji Slim,Menzel Bouzelfa,+216 26 62 50 05 / 21 40 52 08,,,https://www.ecoles.com.tn/etablissements/primaire/al-oswa-hassana-leader
primaire,Al Oulaa,Primaire,Privé,Gafsa Governorate,Mdhilla,+216 25 25 46 06,schoolaloula@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/al-oulaa
primaire,Al Yamama,Primaire,Privé,"Route de Tunis km 3 à côté de ""Dar Ettabib""",Sfax,+216 74 23 60 82 / 24 32 53 24,alyamamaecole@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/al-yamama
primaire,Al-Andalusia Academy,Primaire,Privé,Avenue Mohammed 5 Barraket Essahel,Hammamet,+216 72 22 64 44,alandalusiaacademy@gmail.com,http://www.alandalusiaacademy.com/index.html,https://www.ecoles.com.tn/etablissements/primaire/al-andalusia-academy
primaire,Al-Khawarizmi,Primaire,Privé,"Avenue Mongi Slim, Cité Ennasr",Kairouan,+216 95 65 02 40,,,https://www.ecoles.com.tn/etablissements/primaire/al-khawarizmi
primaire,Alain Savary,Primaire,Privé,Résidence le fatimide,La Soukra,94222560/  98 301 133,,,https://www.ecoles.com.tn/etablissements/primaire/alain-savary
primaire,ALBERT CAMUS,Primaire,Privé,2 Rue Bahja Nouvelle Medina,Medina Jedida,+216 23 510 810,ayecheamira@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/albert-camus
primaire,aldawlab,Primaire,Privé,avenue 14 janvier,Kasserine,77473109-52244850,,https://www.facebook.com/ecolepiloteprivee/,https://www.ecoles.com.tn/etablissements/primaire/aldawlab
primaire,Alimtiez - The Excellence School,Primaire,Privé,Boulevard L'environnement - El Alia,Bizerte,+216 58 36 40 40,alimtiez@gmail.com,https://www.excellence.com.tn/,https://www.ecoles.com.tn/etablissements/primaire/alimtiez-excellence-school
primaire,Alkhawarizmi School Zeramdine,Primaire,Privé,Avenue Habib Bourguiba,Zéramdine,+216 52 116 007,alkhawarizmischool2018@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/alkhawarizmi-school-zeramdine
primaire,Alkindus,Primaire,Privé,Route de la Corniche- Belle Plage,Bizerte Nord,+216 72 459 00 / 98 486 639 / 53 486 639,contact@ecolealkindus.net,,https://www.ecoles.com.tn/etablissements/primaire/alkindus
primaire,Alkindus,Primaire,Privé,Rue El Imam Malek Cité Ain Mariem,Bizerte,+216 53 48 66 39,sameh.alkindus@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/alkindus-0
primaire,Allemni School,Primaire,Privé,"Rue Bourguiba, Zriba Hammem",Zriba,+216 72 67 74 62,,,https://www.ecoles.com.tn/etablissements/primaire/allemni-school
primaire,Almanehel,Primaire,Privé,Route soukra km 1.5 impasse ammous,Sfax,+216 50 66 34 62,info@almanehel.tn,http://www.almanehel.tn,https://www.ecoles.com.tn/etablissements/primaire/almanehel
primaire,Almarifa,Primaire,Privé,Cité El Manar,Kairouan,+216 28 33 33 80 / 77 27 00 20,almarifaecole@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/almarifa
primaire,AlMaweheb,Primaire,Privé,18 RUE FRATERNITE KHAZNADAR,Le Bardo,71502745/28 057 209,almaweheb@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/almaweheb
primaire,Alyssa,Primaire,Privé,Djerba,Médenine Sud,+216 75 62 32 96 / 28 59 40 08,,,https://www.ecoles.com.tn/etablissements/primaire/alyssa-0
primaire,Alyssa,Primaire,Privé,"Rue Abdelhamid El Kadhi, 4070 Sousse",Sousse Médina,73 291 850 / 73 261 825,,,https://www.ecoles.com.tn/etablissements/primaire/alyssa
primaire,Alyssa Ecole,Primaire,Privé,Cité Menzah,Zaghouan Ville,+216 72 68 30 24 / 41 91 44 38,,,https://www.ecoles.com.tn/etablissements/primaire/alyssa-ecole
primaire,AMAL junior,Primaire,Privé,Route Teniour Km3 Rue Abdelaziz Thaalbi,Sfax Ville,+216 74 26 47 25 / 58 42 18 00,ecolepriveeamal@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/amal-junior
primaire,AMANA School,Primaire,Privé,Derrière les stades Arena,Gabès,+216 75 29 04 00,amana.school@yahoo.fr,,https://www.ecoles.com.tn/etablissements/primaire/amana-school
primaire,American Cooperative School of Tunis - ACST,Primaire,Privé,BP 150 Cite Taeib M'hiri Laouina,Tunis Ville,+216 71 760 905,school@acst.net,https://www.acst.net/,https://www.ecoles.com.tn/etablissements/primaire/american-cooperative-school-tunis-acst
primaire,Amilcar,Primaire,Privé,Béja,Béja,+216 78 443 921,contact@amilcar.education,http://www.amilcar.education/,https://www.ecoles.com.tn/etablissements/primaire/amilcar-0
primaire,AMILCAR,Primaire,Privé,"05, Rue de l'indépendance",La Marsa,+216 71 74 86 91,ecole@etablissement-amilcar.com,http://www.etablissement-amilcar.com,https://www.ecoles.com.tn/etablissements/primaire/amilcar
primaire,Amilcar,Primaire,Privé,Messadine,Sousse,+216 26 51 22 80,ecoleamilcar2019@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/amilcar-1
primaire,Amilcar,Primaire,Privé,4 Rue Tayeb Mhiri,Menzel Bourguiba,+216 72 47 22 58,ecole-amilcar@hotmail.com,,https://www.ecoles.com.tn/etablissements/primaire/amilcar-2
primaire,Amin School,Primaire,Privé,avenue l'environnement bouzguem,Kasserine,53378055,,,https://www.ecoles.com.tn/etablissements/primaire/amin-school
primaire,Amine School,Primaire,Privé,En face de l'école Ali Ben Sadok,Sidi Bouzid,+216 99 87 93 70,,,https://www.ecoles.com.tn/etablissements/primaire/amine-school
primaire,Anas School,Primaire,Privé,Mornag,Ben Arous ville,+216 50 89 05 05/ 79 35 22 12,anasschool2015@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/anas-school
primaire,Anouar École privée,Primaire,Privé,"Route Menzel chaker Km 1,5",Sfax Ville,+216 74 46 06 04,anouarep1997@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/anouar-ecole-privee
primaire,ANOUS,Primaire,Privé,2BIS RUE BACH HAMBA,Le Bardo,55 77 88 55,,,https://www.ecoles.com.tn/etablissements/primaire/anous
primaire,Aouladi,Primaire,Privé,5 Avenue de La République,Mégrine,71 426 545 / 71 427 425,,,https://www.ecoles.com.tn/etablissements/primaire/aouladi
primaire,ARC EN CIEL,Primaire,Privé,Cité Hachad,Makthar,+216 98 678 340,,,https://www.ecoles.com.tn/etablissements/primaire/arc-en-ciel
primaire,ARC En CIEL,Primaire,Privé,En face de l'Assurance MAE,Siliana,+216 98 67 83 40,rania.mhamdi@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/arc-en-ciel-0
primaire,ARCHIMED ACADEMY,Primaire,Privé,"15, Rue El Bachia Ben Mouaouia El Manar 1",El Manar,+216 22 524 061,academie.archimed@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/archimed-academy
primaire,Archimede School,Primaire,Privé,"46 Rue de l'école, Sidi Rezig",Mégrine,+216 55 90 74 89,,,https://www.ecoles.com.tn/etablissements/primaire/archimede-school
primaire,Ariane School,Primaire,Privé,12 Bis rue belhassine jrad,Ariana Ville,+216 71 702 362,,,https://www.ecoles.com.tn/etablissements/primaire/ariane-school
primaire,Asad Ibn Alfourat,Primaire,Privé,27 Rue Ibn Rabib Cité Sidi Saad,Kairouan,+216 77 22 76 27,ecoleassadibnalfourat@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/asad-ibn-alfourat
primaire,Asdrubal School,Primaire,Privé,"Rue Ibn Abi Dhief,  juste en face du lycée Ibn Abi Dhief",Manouba,+216 95 32 11 55,asdrubal.school@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/asdrubal-school
primaire,Averroes School,Primaire,Privé,Rue Zayd Ibn Haritha,Grombalia,+216 72 25 63 24,averroes.school@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/averroes-school
primaire,Averroes School,Primaire,Privé,"Al-Shabab Junction, en face de l'entrepôt municipal, à côté de la banque commerciale",Gafsa,+216 53 83 28 35 / 23 56 15 43,,,https://www.ecoles.com.tn/etablissements/primaire/averroes-school-0
primaire,Averroès-Ibn Roched,Primaire,Privé,Rue El Quadisiya,Manouba,+216 71 60 10 92 / 99 55 13 73,,,https://www.ecoles.com.tn/etablissements/primaire/averroes-ibn-roched
primaire,Avicenne,Primaire,Privé,"Avenue Al Omam Al Moutahda, route de Tunis",Kairouan Sud,+216 77 273 033,,,https://www.ecoles.com.tn/etablissements/primaire/avicenne-0
primaire,Avicenne,Primaire,Privé,Avenue Habib Bourguiba,Gafsa Sud,76227929,,,https://www.ecoles.com.tn/etablissements/primaire/avicenne
primaire,AVICENNE,Primaire,Privé,7 Avenue Bellevue,Tunis Ville,98 679 314,,,https://www.ecoles.com.tn/etablissements/primaire/avicenne-1
primaire,Avicenne,Primaire,Privé,10 rue Ahmed Tlili,Le Bardo,+216 71 51 60 90,,,https://www.ecoles.com.tn/etablissements/primaire/avicenne-2
primaire,Avicenne,Primaire,Privé,Rue des Nations Unies,Kairouan,+216 77 27 30 33,,,https://www.ecoles.com.tn/etablissements/primaire/avicenne-3
primaire,AYOUB school,Primaire,Privé,Km 6.5 Route de Bizerte Mnihla,Mnihla,23 873 387 / 71 554 662,,,https://www.ecoles.com.tn/etablissements/primaire/ayoub-school
primaire,AZ School Boumhal,Primaire,Privé,"Boumhal, Tunsie",Ben Arous ville,+216 27 18 00 00 / 20 63 80 00,,,https://www.ecoles.com.tn/etablissements/primaire/az-school-boumhal
primaire,Balkis School,Primaire,Privé,"Cité Azouhour, Mtorrech plage",Gabès,+216 75 29 00 10,balkisschool@hotmail.fr,,https://www.ecoles.com.tn/etablissements/primaire/balkis-school
primaire,Baraem Alelem,Primaire,Privé,Rue Chadly Kallela,Tunis Ville,+216 52 67 83 30,,,https://www.ecoles.com.tn/etablissements/primaire/baraem-alelem
primaire,Baya School,Primaire,Privé,Mornag,Mornag,+216 29 09 89 68,,,https://www.ecoles.com.tn/etablissements/primaire/baya-school
primaire,Bayrem Ettounsi,Primaire,Privé,01 Rue Mongi Slim Denden,Manouba,+216 36 23 34 41,ecolebayremettounsi@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/bayrem-ettounsi
primaire,Baytalhekma School,Primaire,Privé,Rue De L'environnement,Ben Gardane,+216 96 69 50 98,,,https://www.ecoles.com.tn/etablissements/primaire/baytalhekma-school
primaire,Be School,Primaire,Privé,"32 avenue Charles Nicolle 2050, Tunisie",Hammam Lif,+216 79 21 87 10,administration@beschool.tn,http://www.beschool.tn/,https://www.ecoles.com.tn/etablissements/primaire/be-school
primaire,Be Smart School,Primaire,Privé,El Mourouj 6,Ben Arous ville,+216 94 01 71 60 / 20 69 40 00,contact@besmartschool.tn,,https://www.ecoles.com.tn/etablissements/primaire/be-smart-school
primaire,Bel Horizon,Primaire,Privé,"Route De Tebourba, Jedeïda",Manouba,+216 71 63 88 18,belhorizonjedaida@hotmail.com,,https://www.ecoles.com.tn/etablissements/primaire/bel-horizon
primaire,Bosten Ennour,Primaire,Privé,Cité les jardins A.F.H,Jendouba Ville,+216 54 60 09 69,,,https://www.ecoles.com.tn/etablissements/primaire/bosten-ennour
primaire,Boukhari School,Primaire,Privé,"Route Jimla, avenue l'Arayes",Zaghouan Ville,+216 72 68 43 11,e.boukharischool@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/boukhari-school
primaire,Bustan Al Maarifa,Primaire,Privé,"11.rue de Séville Elbustan Rte de Mahdia km1,5",Sfax,+216 93 00 00 95,frikha.mokhtar@yahoo.fr,,https://www.ecoles.com.tn/etablissements/primaire/bustan-al-maarifa
primaire,Capsa Smart School,Primaire,Privé,"Rue des pommes, doualy",Gafsa,+216 50 05 10 33,capsasmartschool@hotmail.com,,https://www.ecoles.com.tn/etablissements/primaire/capsa-smart-school
primaire,CARTHAGE ACADEMY,Primaire,Privé,41 rue Ibn Sana El Molk,La Soukra,+216 21 600 111,carthage.academy.lasoukra@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/carthage-academy
primaire,Carthage Classical Academy,Primaire,Privé,"Rue des sciences, Ennasr 2",El Nasser,+216 71 755 336 / 29 923 081,info@carthageclassicalacademy.org,http://www.carthageclassicalacademy.org,https://www.ecoles.com.tn/etablissements/primaire/carthage-classical-academy
primaire,Carthage School,Primaire,Privé,Route de la plage,Menzel Temime,+216 97 99 90 07,,,https://www.ecoles.com.tn/etablissements/primaire/carthage-school
primaire,Carthage School,Primaire,Privé,"Fouchana, Cité Esallem",Fouchana,+216 28 25 84 90,,,https://www.ecoles.com.tn/etablissements/primaire/carthage-school-0
primaire,Carthage School Béja,Primaire,Privé,Rue Abou Al Kacem Chebbi,Béja,+216 55 09 07 71,carthageschoolbeja@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/carthage-school-beja
primaire,Carthage School Ksar Hellal,Primaire,Privé,"Zone industrielle, Rue Mohamed Ben Cheikh",Ksar Hellal,+216 54 085 685,,,https://www.ecoles.com.tn/etablissements/primaire/carthage-school-ksar-hellal
primaire,Château Brillant,Primaire,Privé,"Rue Maghreb Arabi, Cité Hached",Siliana,+216 97 03 54 15,ecolechateaubrillant@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/chateau-brillant
primaire,Chevreuil,Primaire,Privé,9 Rue du 1er Juin Mutuelleville 1082 Cité Mahrajène,El Menzah,+216 71 796 196 / 71 893 916,,,https://www.ecoles.com.tn/etablissements/primaire/chevreuil
primaire,CIS International School of Tunis,Primaire,Privé,"Rue Des Usines, Charguia 1",Charguia,+216 26 066 667,info@cistunis.tn,http://www.cistunis.tn,https://www.ecoles.com.tn/etablissements/primaire/cis-international-school-tunis
primaire,City School,Primaire,Privé,Avenue Avicenne (En face de la faculté de Médecine Dentaire),Monastir Ville,73505802,,,https://www.ecoles.com.tn/etablissements/primaire/city-school
primaire,City School Plus / Tayssir School,Primaire,Privé,"Avenue de l'Egypte, Borj Cédria",Soliman,+216 23 15 96 09,abd.fadhel71@hotmail.com,,https://www.ecoles.com.tn/etablissements/primaire/city-school-plus-tayssir-school
primaire,Cody Space By Magic Makers,Primaire,Privé,"B5, 1 er étage Centre le Millenuim",La Marsa,98 770 722,cody@codyspace.tn,https://www.codyspace.tn,https://www.ecoles.com.tn/etablissements/primaire/cody-space-magic-makers
primaire,Complexe L'excellence bouhsina,Primaire,Privé,Rue abu hamed ghazali bouhsina,Sousse,+216 73 232 606 / 97 220 116 / 98 548 847,excellenceilahy@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/complexe-lexcellence-bouhsina
primaire,Creativity School,Primaire,Privé,Avenue 14 janvier 2011,Bizerte,+216 98 67 31 67,creativity.school17@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/creativity-school
primaire,DA VINCI SCHOOL,Primaire,Privé,"01, bis Rue El Maarri",La Marsa,71 740 151 / 22 344 850,d.vincischool@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/da-vinci-school
primaire,Da Vinci Smart academy,Primaire,Privé,"6, rue Menzel Abderrahmen (à proximité de Cité El Ezz) Meliane2",Radès,+216 95 22 78 90 / 93 55 36 67,davinci.smartacademy@gmail.com,,https://www.ecoles.com.tn/etablissements/primaire/da-vinci-smart-academy
primaire,Davinci School,Primaire,Privé,Msaken,Sousse,+216 56 899 999,,,https://www.ecoles.com.tn/etablissements/primaire/davinci-school
primaire,Descartes Midoun,Primaire,Privé,"Résidence Ben sedrine, devant il pappagallo, route du phare",Djerba - Midoun,+216 55 34 90 14,,,https://www.ecoles.com.tn/etablissements/primaire/descartes-midoun
